Ticker,Allocations,Sectors
BBAS3,10.0,Finance
BBDC4,3.1,Finance
BRFS3,10.0,Consumer Durables Non Durables
CMIG4,1.9,Utilities
EGIE3,10.0,Utilities
FLRY3,4.5,Health Services and Technology
ITUB4,10.0,Finance
KLBN11,10.0,Non-Energy Minerals
LREN3,10.0,Retail Trade
SANB11,10.0,Finance
SUZB3,2.1,Process Industries
TIMS3,10.0,Communications
VIVT3,10.0,Communications
