Ticker,Allocations,Sectors
ALPA4,10.0,Bens de Consumo Duráveis e Não Duráveis
BPAC11,10.0,Financeiro
BPAN4,10.0,Financeiro
BRAP4,1.5,Financeiro
CPLE6,10.0,Serviços Básicos
CSNA3,10.0,Minerais
MRFG3,10.0,Bens de Consumo Duráveis e Não Duráveis
PCAR3,0.6,Varejista
PRIO3,10.0,Energia
TOTS3,10.0,Comércio e Tecnologia
UNIP6,7.8,Indústria de Processamento
WEGE3,10.0,Manufatura
